
Project:     20250213_0730_ie
Program:     Inertial Explorer Version 8.90.4416
Profile:     IPNL_URBANNAV_with_std_revise
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\IPNL_Experiment\Desktop\20250213\20250213_0730_ie.cts
ProcessInfo: 20250213_0730_ie by Unknown on 2/19/2025 at 12:23:15

Datum:       WGS84
Master 1:    Name HKSC, Status ENABLED
             Antenna height 0.008 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 22 19 19.81949, 114 08 28.27666, 20.239 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [NOV703GGG.R2(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.073, y=-0.032, z=1.071 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=90.000 degrees
UTC Offset:  18 s
SD Scaling Settings:
  Position: 1.0000
  Velocity: 1.0000
  Attitude: 1.0000

       UTCTime       Week    GPSTime       Latitude      Longitude        H-Ell       X-ECEF       Y-ECEF       Z-ECEF   VX-ECEF   VY-ECEF   VZ-ECEF     VEast    VNorth       VUp VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q     SDX-ECEF     SDY-ECEF     SDZ-ECEF       SDEast      SDNorth     SDHeight         HdngSD     SD-VN     SD-VE     SD-VH         RollSD        PitchSD        AzStDev
         (sec)    (weeks)      (sec)          (deg)          (deg)          (m)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)            (m)          (m)          (m)          (m)          (m)          (m)          (deg)     (m/s)     (m/s)     (m/s)          (deg)          (deg)          (deg)
1739447672.000 2353.00000 388490.000  22.2929894759 114.1742137039        3.083 -2417867.310  5386481.059  2404463.843    -0.386    -0.056    -0.302     0.375    -0.320    -0.015   0.481   0.012  -0.107  -0.121   1.626  -0.102 -11.0528199639  -9.0647079810  41.6218773145 3        0.004        0.006        0.005        0.003        0.004        0.007   0.0211212039     0.002     0.002     0.001   0.0036816658   0.0035952413   0.0000000000
1739447673.000 2353.00000 388491.000  22.2929943019 114.1742139267        3.090 -2417867.251  5386480.871  2404464.340     0.352    -0.346     1.040    -0.180     1.137    -0.031  -0.172   1.118   0.212   0.677   1.316  -0.017  -6.3696577521 -11.2973927283   0.7113442914 1        0.004        0.006        0.005        0.003        0.004        0.007   0.0211109724     0.002     0.002     0.001   0.0040261033   0.0037138469   0.0000000000
1739447674.000 2353.00000 388492.000  22.2930070519 114.1742117496        3.105 -2417866.833  5386480.486  2404465.652     0.453    -0.505     1.431    -0.206     1.569    -0.055  -0.131   1.560   0.237   1.415   0.472   0.389  -4.2408502531 -10.2906084794  -2.0985557389 1        0.004        0.006        0.005        0.003        0.004        0.007   0.0211032107     0.002     0.002     0.001   0.0039180745   0.0037557606   0.0000000000
1739447675.000 2353.00000 388493.000  22.2930217007 114.1742100145        3.142 -2417866.431  5386480.029  2404467.167     0.202    -0.644     1.635     0.080     1.767     0.000   0.065   1.742   0.302   0.752   1.049   1.232  -3.7561852542  -9.9462551150   1.1051267248 1        0.004        0.006        0.005        0.003        0.004        0.007   0.0210983474     0.002     0.002     0.001   0.0036891543   0.0037128590   0.0000000000
1739447676.000 2353.00000 388494.000  22.2930357925 114.1742101915        3.166 -2417866.215  5386479.502  2404468.620     0.109    -0.621     1.507     0.155     1.626     0.007   0.036   1.613   0.257  -0.559  -2.102   0.403  -4.7544037840  -8.8974444119   4.9320149709 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0210944321     0.002     0.002     0.001   0.0036671814   0.0036849654   0.0000000000
1739447677.000 2353.00000 388495.000  22.2930482517 114.1742096268        3.187 -2417865.955  5386479.066  2404469.904     0.227    -0.363     1.294    -0.059     1.358     0.098  -0.006   1.327   0.311  -0.486  -1.830  -1.034  -5.4586835058  -8.9840756305  -0.9528693317 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0210896060     0.002     0.002     0.001   0.0036714538   0.0036874735   0.0000000000
1739447678.000 2353.00000 388496.000  22.2930574811 114.1742084852        3.191 -2417865.691  5386478.764  2404470.851     0.071    -0.415     0.806     0.105     0.900    -0.071   0.335   0.845  -0.021   0.307  -0.702   2.081  -7.1786970772  -6.2530321929 -15.0042409981 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0210837666     0.002     0.002     0.001   0.0036841349   0.0036938947   0.0000000000
1739447679.000 2353.00000 388497.000  22.2930617254 114.1742088452        3.201 -2417865.656  5386478.594  2404471.290     0.171    -0.078     0.448    -0.124     0.468     0.039   0.481  -0.026  -0.063   0.104   1.045   0.139 -11.8041624390  -5.4757633776 -107.400371880 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0210799277     0.002     0.002     0.001   0.0036960307   0.0036991343   0.0000000000
1739447680.000 2353.00000 388498.000  22.2930626287 114.1742067539        3.222 -2417865.452  5386478.666  2404471.391    -0.176     0.222    -0.638     0.069    -0.695     0.012  -0.077   0.667   0.191  -1.059   1.888   0.589  -6.8024528818 -14.1782417110 -177.508146594 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0210818760     0.002     0.002     0.001   0.0039974595   0.0038341023   0.0000000000
1739447681.000 2353.00000 388499.000  22.2930524323 114.1742073713        3.197 -2417865.675  5386479.009  2404470.336    -0.238     0.370    -1.369     0.065    -1.431    -0.117  -0.047   1.427   0.167  -0.336   1.135   0.338  -7.7513053681 -11.0127530253 -179.840875502 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0210879408     0.002     0.002     0.001   0.0039668824   0.0039288127   0.0000000000
