
Project:     xiaotao
Program:     Inertial Explorer Version 8.90.2428
Profile:     IPNL_URBANNAV_with_std
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\IPNL_Experiment\Desktop\20250603\IE\xiaotao.cts
ProcessInfo: xiaotao by Unknown on 6/3/2025 at 21:29:09

Datum:       WGS84
Master 1:    Name HKSC, Status ENABLED
             Antenna height 0.008 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 22 19 19.81949, 114 08 28.27666, 20.239 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.340, y=-0.500, z=0.100 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=180.000, zRot=-90.000 degrees
UTC Offset:  18 s
SD Scaling Settings:
  Position: 1.0000
  Velocity: 1.0000
  Attitude: 1.0000

      UTCTime       Week   GPSTime       Latitude      Longitude        H-Ell       X-ECEF       Y-ECEF       Z-ECEF   VX-ECEF   VY-ECEF   VZ-ECEF     VEast    VNorth       VUp VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q     SDX-ECEF     SDY-ECEF     SDZ-ECEF       SDEast      SDNorth     SDHeight         HdngSD     SD-VN     SD-VE     SD-VH         RollSD        PitchSD        AzStDev
        (sec)    (weeks)     (sec)          (deg)          (deg)          (m)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)            (m)          (m)          (m)          (m)          (m)          (m)          (deg)     (m/s)     (m/s)     (m/s)          (deg)          (deg)          (deg)
1748932227.00 2369.00000 196245.00  22.3072159109 114.1738481353       15.073 -2417592.690  5385961.245  2405925.927    13.028     3.817     4.405   -13.449     4.779    -0.042  -0.035  14.272  -0.069  -1.339   0.660   2.125   0.4206656132   0.1078707641 -70.2942786169 2        0.008        0.010        0.009        0.007        0.008        0.011   0.0134869162     0.002     0.002     0.002   0.0023997545   0.0023875113   0.0000000000
1748932228.00 2369.00000 196246.00  22.3072603393 114.1737168125       14.997 -2417579.552  5385965.019  2405930.450    13.119     3.770     4.563   -13.513     4.955    -0.056  -0.074  14.391  -0.159   4.097   0.014   6.164   1.2351308485   0.4037748174 -69.5537077484 2        0.008        0.010        0.009        0.007        0.008        0.011   0.0134525299     0.002     0.002     0.002   0.0024044754   0.0023928597   0.0000000000
1748932229.00 2369.00000 196247.00  22.3073068999 114.1735854453       14.945 -2417566.381  5385968.732  2405935.200    13.229     3.595     4.880   -13.541     5.326    -0.126  -0.033  14.551  -0.165   1.959   4.101  -4.576   1.3327685864   0.1525099059 -68.3853551309 1        0.008        0.010        0.009        0.007        0.008        0.011   0.0134160137     0.002     0.002     0.002   0.0024069359   0.0023937891   0.0000000000
1748932230.00 2369.00000 196248.00  22.3073568302 114.1734543431       14.827 -2417553.154  5385972.250  2405940.271    13.315     3.398     5.287   -13.538     5.784    -0.170  -0.036  14.722  -0.216   1.789   3.951  -3.498   1.3602648310   0.1766772657 -66.7065200362 1        0.008        0.010        0.009        0.007        0.008        0.012   0.0133785699     0.002     0.002     0.002   0.0024100568   0.0023899188   0.0000000000
1748932231.00 2369.00000 196249.00  22.3074117330 114.1733241152       14.717 -2417539.925  5385975.546  2405945.853    13.087     3.139     5.908   -13.224     6.413    -0.066   0.008  14.697  -0.117  -1.653  -5.752   4.783   1.2426537844   0.2020478369 -64.1500511093 1        0.008        0.010        0.009        0.007        0.008        0.012   0.0133358203     0.002     0.002     0.002   0.0024142698   0.0023880855   0.0000000000
1748932232.00 2369.00000 196250.00  22.3074728498 114.1731965633       14.624 -2417526.848  5385978.507  2405952.080    12.991     2.710     6.537   -12.961     7.129    -0.153   0.008  14.792  -0.163   0.582   0.176  -1.638   1.8065244689   0.0381475300 -61.1998513151 1        0.008        0.010        0.009        0.007        0.008        0.012   0.0132949362     0.002     0.002     0.002   0.0024157343   0.0023860775   0.0000000000
1748932233.00 2369.00000 196251.00  22.3075396874 114.1730721487       14.515 -2417513.960  5385981.101  2405958.885    12.681     2.310     7.062   -12.515     7.705    -0.174   0.011  14.697  -0.174   0.296  -0.588   0.401   1.2700010600  -0.0019022199 -58.4106240135 2        0.008        0.010        0.009        0.007        0.008        0.012   0.0132540558     0.002     0.002     0.002   0.0024198771   0.0023838847   0.0000000000
1748932234.00 2369.00000 196252.00  22.3076111948 114.1729518502       14.411 -2417501.382  5385983.347  2405966.172    12.421     2.049     7.395   -12.171     8.063    -0.169   0.018  14.600  -0.157  -0.298   2.414  -5.118   1.5726087195  -0.0446276827 -56.5322219892 1        0.008        0.010        0.009        0.007        0.008        0.012   0.0132149644     0.002     0.002     0.002   0.0024255158   0.0023844268   0.0000000000
1748932235.00 2369.00000 196253.00  22.3076847250 114.1728349463       14.319 -2417489.092  5385985.382  2405973.670    12.101     1.926     7.636   -11.828     8.278    -0.061  -0.025  14.437  -0.112   1.416   1.573  -2.746   1.5820625231   0.2003289635 -54.9027586677 1        0.008        0.010        0.009        0.007        0.008        0.012   0.0131782247     0.002     0.002     0.002   0.0024291978   0.0023869530   0.0000000000
1748932236.00 2369.00000 196254.00  22.3077613853 114.1727221192       14.189 -2417477.117  5385987.093  2405981.474    11.658     1.615     7.966   -11.297     8.623    -0.030  -0.014  14.210  -0.199  -1.592   9.619  -1.209   1.7594216086   0.6798774493 -52.5640137029 1        0.008        0.010        0.009        0.007        0.008        0.012   0.0131375706     0.002     0.002     0.002   0.0024302914   0.0023883169   0.0000000000
1748932237.00 2369.00000 196255.00  22.3078413535 114.1726132076       14.109 -2417465.473  5385988.555  2405989.636    11.499     1.199     8.215   -10.981     8.972    -0.225  -0.015  14.181  -0.198  -0.337  -0.254   6.904   1.5577748421  -0.1145457224 -50.6658102572 1        0.008        0.010        0.009        0.007        0.008        0.012   0.0130965607     0.002     0.002     0.002   0.0024304558   0.0023941349   0.0000000000
1748932238.00 2369.00000 196256.00  22.3079238867 114.1725087121       14.008 -2417454.191  5385989.713  2405998.053    11.079     1.053     8.588   -10.539     9.303    -0.049  -0.016  14.057  -0.093  -1.508   0.814   0.635   1.6474771145   0.1785164602 -48.4883529118 2        0.008        0.011        0.009        0.007        0.008        0.012   0.0130574116     0.002     0.002     0.002   0.0024312583   0.0024012213   0.0000000000
1748932239.00 2369.00000 196257.00  22.3080082831 114.1724094878       13.909 -2417443.373  5385990.580  2406006.662    10.626     0.789     8.637   -10.018     9.369    -0.081  -0.108  13.716  -0.078   3.025   2.853  -4.484   1.4414586801  -0.0270607967 -46.4574123337 2        0.008        0.011        0.009        0.007        0.008        0.012   0.0130157406     0.002     0.002     0.002   0.0024327303   0.0024070560   0.0000000000
1748932240.00 2369.00000 196258.00  22.3080937775 114.1723156042       13.833 -2417433.047  5385991.198  2406015.392    10.151     0.394     8.784    -9.422     9.568    -0.179  -0.039  13.430  -0.088   0.800  -0.446  -2.320   1.4821616019  -0.3926078700 -44.3853563042 2        0.008        0.011        0.009        0.007        0.008        0.012   0.0129715130     0.002     0.002     0.002   0.0024328653   0.0024149423   0.0000000000
1748932241.00 2369.00000 196259.00  22.3081817371 114.1722270057       13.740 -2417423.170  5385991.485  2406024.367     9.675     0.165     9.143    -8.895     9.905    -0.055  -0.046  13.313  -0.039  -0.654  -1.168   0.081   1.3620180819  -0.0769138544 -41.7231594754 2        0.008        0.011        0.009        0.007        0.008        0.012   0.0129211731     0.002     0.002     0.002   0.0024339946   0.0024285982   0.0000000000
1748932242.00 2369.00000 196260.00  22.3082727029 114.1721433017       13.635 -2417413.696  5385991.440  2406033.647     9.304    -0.202     9.410    -8.406    10.222    -0.123  -0.049  13.234  -0.075   2.197  -1.681  -2.368   1.4976887582  -0.2130085195 -39.2137017355 2        0.008        0.011        0.009        0.007        0.008        0.012   0.0128729213     0.002     0.002     0.002   0.0024342183   0.0024363771   0.0000000000
1748932243.00 2369.00000 196261.00  22.3083648311 114.1720643500       13.526 -2417404.647  5385991.146  2406043.044     8.813    -0.318     9.451    -7.910    10.224    -0.020   0.019  12.926  -0.145   0.417   1.417  -1.124   1.8262857832   0.5569264360 -37.7933336318 2        0.008        0.011        0.009        0.007        0.009        0.012   0.0128276832     0.002     0.002     0.002   0.0024306832   0.0024403802   0.0000000000
1748932244.00 2369.00000 196262.00  22.3084565899 114.1719896123       13.423 -2417396.003  5385990.693  2406052.405     8.468    -0.525     9.345    -7.511    10.144    -0.104  -0.077  12.621  -0.128   0.271   1.246   0.301   1.5395146772   0.1010525663 -36.1538607377 1        0.008        0.011        0.010        0.008        0.009        0.012   0.0127788121     0.002     0.002     0.002   0.0024265952   0.0024403750   0.0000000000
1748932245.00 2369.00000 196263.00  22.3085473771 114.1719193621       13.312 -2417387.795  5385990.082  2406061.664     7.890    -0.740     8.930    -6.896     9.744    -0.224  -0.062  11.939  -0.125  -0.108  -2.791   2.695   0.2262209263  -0.4738876628 -34.9863560977 1        0.008        0.011        0.010        0.008        0.009        0.012   0.0127339894     0.002     0.002     0.002   0.0024269256   0.0024403506   0.0000000000
1748932246.00 2369.00000 196264.00  22.3086313554 114.1718561115       13.189 -2417380.357  5385989.427  2406070.220     7.005    -0.563     8.193    -6.161     8.863    -0.019  -0.018  10.794  -0.046  -0.192   0.739  -0.066  -0.5623523463   0.1443452573 -34.7110326884 2        0.008        0.011        0.010        0.008        0.009        0.012   0.0127006005     0.002     0.002     0.002   0.0024261351   0.0024360341   0.0000000000
1748932247.00 2369.00000 196265.00  22.3087021155 114.1718021688       13.169 -2417374.061  5385988.972  2406077.462     5.677    -0.368     6.398    -5.029     6.929    -0.033  -0.051   8.561  -0.068   0.211  -1.183  -2.677  -1.1386905925   0.2430544263 -35.6433725309 2        0.008        0.011        0.010        0.007        0.009        0.012   0.0126830228     0.002     0.002     0.002   0.0024292527   0.0024355818   0.0000000000
1748932248.00 2369.00000 196266.00  22.3087581987 114.1717562610       13.139 -2417368.768  5385988.732  2406083.196     5.008    -0.114     5.114    -4.523     5.549    -0.052  -0.113   7.158  -0.080   0.001  -0.616  -0.145  -2.0796878273   0.2595670699 -38.3019597257 1        0.008        0.011        0.009        0.007        0.008        0.013   0.0126685426     0.002     0.002     0.002   0.0024323107   0.0024303736   0.0000000000
1748932249.00 2369.00000 196267.00  22.3088043117 114.1717138038       13.094 -2417363.967  5385988.718  2406087.903     4.636     0.147     4.423    -4.290     4.762     0.047  -0.061   6.409  -0.040   1.528  -2.477   0.521  -2.8686277929   0.8006569525 -41.4899083570 2        0.008        0.011        0.009        0.007        0.008        0.013   0.0126568060     0.002     0.002     0.002   0.0024398896   0.0024158186   0.0000000000
1748932250.00 2369.00000 196268.00  22.3088442469 114.1716731437       13.084 -2417359.453  5385988.893  2406091.990     4.416     0.266     3.837    -4.138     4.144     0.008  -0.070   5.855  -0.030   0.405  -0.097  -2.207  -3.2231626174   0.4066854430 -44.2862632536 2        0.008        0.011        0.009        0.007        0.008        0.013   0.0126463771     0.002     0.002     0.002   0.0024420230   0.0024104903   0.0000000000
1748932251.00 2369.00000 196269.00  22.3088799566 114.1716332863       13.090 -2417355.094  5385989.211  2406095.651     4.306     0.386     3.485    -4.086     3.760     0.017  -0.059   5.553  -0.018   0.201  -0.600  -0.494  -3.5327087957   0.3992541804 -46.7835914769 2        0.008        0.011        0.009        0.007        0.008        0.013   0.0126365116     0.002     0.002     0.002   0.0024409101   0.0024003962   0.0000000000
1748932252.00 2369.00000 196270.00  22.3089120279 114.1715934663       13.081 -2417350.796  5385989.653  2406098.933     4.299     0.481     3.122    -4.119     3.390    -0.038  -0.017   5.333  -0.096  -1.988   0.780  -7.329  -3.6638244576   0.6409506967 -50.4308574542 2        0.008        0.011        0.009        0.007        0.008        0.013   0.0126291458     0.002     0.002     0.002   0.0024412363   0.0023927414   0.0000000000
1748932253.00 2369.00000 196271.00  22.3089406689 114.1715530455       13.080 -2417346.503  5385990.259  2406101.867     4.404     0.710     2.854    -4.309     3.079     0.014  -0.074   5.295  -0.060   0.642   1.348  -2.674  -3.6328331704   0.8554546360 -53.6882313815 2        0.008        0.012        0.009        0.007        0.008        0.013   0.0126225976     0.002     0.002     0.002   0.0024448952   0.0023863059   0.0000000000
1748932254.00 2369.00000 196272.00  22.3089685714 114.1715089544       13.107 -2417341.888  5385991.072  2406104.735     4.862     0.894     2.846    -4.802     3.079    -0.007  -0.079   5.701  -0.158   1.850   0.386   2.634  -4.0215277387   1.5746026126 -56.6579518477 2        0.008        0.012        0.009        0.007        0.008        0.013   0.0126149356     0.002     0.002     0.002   0.0024508107   0.0023813641   0.0000000000
1748932255.00 2369.00000 196273.00  22.3089963739 114.1714597615       13.170 -2417336.809  5385992.135  2406107.608     5.270     1.166     2.824    -5.285     3.028     0.060  -0.036   6.091  -0.069  -0.429   0.122   1.582  -3.7036507539   1.2324436765 -59.8945503254 2        0.008        0.012        0.009        0.007        0.008        0.013   0.0126083111     0.002     0.002     0.002   0.0024603391   0.0023799867   0.0000000000
1748932256.00 2369.00000 196274.00  22.3090226139 114.1714063314       13.223 -2417331.355  5385993.427  2406110.316     5.658     1.448     2.589    -5.755     2.774     0.062  -0.093   6.388  -0.052  -0.762  -0.301   2.421  -3.5782703996   1.0745365081 -63.4654295695 2        0.009        0.012        0.009        0.008        0.008        0.013   0.0126012266     0.002     0.002     0.002   0.0024740384   0.0023824649   0.0000000000
1748932257.00 2369.00000 196275.00  22.3090467569 114.1713480667       13.294 -2417325.489  5385995.019  2406112.816     6.070     1.730     2.438    -6.246     2.600     0.086  -0.011   6.766  -0.102  -1.019  -0.711   1.086  -3.7033871933   1.5991825020 -67.3599669424 2        0.009        0.012        0.009        0.008        0.008        0.013   0.0125952214     0.002     0.002     0.002   0.0024905696   0.0023919404   0.0000000000
1748932258.00 2369.00000 196276.00  22.3090688015 114.1712840940       13.410 -2417319.140  5385996.971  2406115.119     6.677     2.177     2.233    -6.983     2.350     0.156  -0.074   7.369  -0.081   0.681   0.262  -0.479  -3.7862884567   1.8757205818 -70.8697746151 2        0.009        0.012        0.009        0.008        0.008        0.013   0.0125909671     0.002     0.002     0.002   0.0025097912   0.0024136922   0.0000000000
1748932259.00 2369.00000 196277.00  22.3090892792 114.1712145971       13.540 -2417312.304  5385999.227  2406117.266     7.019     2.365     2.131    -7.372     2.244     0.146  -0.027   7.707  -0.093   0.100   0.172   1.208  -3.6535398652   1.7920057184 -72.9205338033 2        0.010        0.012        0.010        0.009        0.008        0.014   0.0125861326     0.002     0.002     0.002   0.0025254423   0.0024484165   0.0000000000
1748932260.00 2369.00000 196278.00  22.3091092514 114.1711418903       13.741 -2417305.201  5386001.699  2406119.388     7.197     2.538     2.138    -7.605     2.218     0.227  -0.026   7.925  -0.059  -1.025   1.181  -0.681  -3.1916613978   2.0800602499 -73.5801285466 2        0.011        0.012        0.010        0.010        0.009        0.013   0.0125793954     0.002     0.003     0.002   0.0025348081   0.0024799749   0.0000000000
1748932261.00 2369.00000 196279.00  22.3091288975 114.1710674241       13.965 -2417297.948  5386004.276  2406121.486     7.293     2.611     1.971    -7.723     2.052     0.190  -0.141   7.991  -0.062  -0.570  -1.527  -0.363  -3.8707481653   1.8694180461 -74.1375534559 1        0.011        0.010        0.009        0.010        0.009        0.011   0.0125723174     0.003     0.003     0.002   0.0025367416   0.0025061667   0.0000000000
